car_ID,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carheight,enginetype,cylindernumber,fuelsystem,horsepower,peakrpm,citympg
1,alfa-romero giulia,gas,std,two,convertible,rwd,front,88.6,48.8,dohc,four,mpfi,111,5000,21
2,alfa-romero stelvio,gas,std,two,convertible,rwd,front,88.6,48.8,dohc,four,mpfi,111,5000,21
3,alfa-romero Quadrifoglio,gas,std,four,sedan,fwd,front,94.5,52.4,ohc,five,mpfi,154,5000,19
4,audi 100 ls,gas,std,four,sedan,fwd,front,99.8,54.3,ohc,five,mpfi,102,5500,24
5,audi 100ls,gas,std,four,sedan,4wd,front,99.4,54.3,ohc,five,mpfi,115,5500,18
6,audi fox,gas,std,two,sedan,fwd,front,99.8,53.1,ohc,five,mpfi,110,5500,19
7,audi 5000s,gas,turbo,two,hatchback,4wd,front,99.5,52.0,ohc,five,mpfi,160,5500,16
8,bmw 320i,gas,std,two,sedan,rwd,front,101.2,54.3,ohc,four,mpfi,101,5800,23
9,bmw 320i,gas,std,four,sedan,rwd,front,101.2,54.3,ohc,four,mpfi,101,5800,23
10,bmw x1,gas,std,two,sedan,rwd,front,101.2,54.3,ohc,six,mpfi,121,4250,21
11,bmw x3,gas,std,four,sedan,rwd,front,101.2,54.3,ohc,six,mpfi,121,4250,21
12,bmw z4,gas,std,four,sedan,rwd,front,103.5,55.7,ohc,six,mpfi,121,4250,20
13,chevrolet monte carlo,gas,std,two,hatchback,fwd,front,94.5,52.0,ohc,four,2bbl,70,5400,38
14,chevrolet vega 2300,gas,std,four,sedan,fwd,front,94.5,52.0,ohc,four,2bbl,70,5400,38
15,dodge rampage,gas,std,two,hatchback,fwd,front,93.7,50.8,ohc,four,2bbl,68,5500,37
16,dodge challenger se,gas,std,two,hatchback,fwd,front,93.7,50.8,ohc,four,2bbl,68,5500,31
17,dodge d200,gas,turbo,two,hatchback,fwd,front,93.7,50.8,ohc,four,mpfi,102,5500,24
